שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
אופקים,31,190,660,399,13,386,21,9,12,0,0,0,0.0,2,0,34,35,67,24,113,20,0,1,0,0,0,1,0,0,0,3,1,0,43
אופקים,31,200,670,392,10,382,15,1,7,0,0,0,0.0,0,0,34,34,107,17,99,23,0,2,1,1,1,0,0,1,0,4,0,1,34
אופקים,31,210,549,293,9,284,7,5,2,1,0,0,0.0,2,0,25,33,86,10,67,8,0,2,0,1,1,0,0,0,0,3,0,2,29
אופקים,31,220,670,434,5,429,22,35,11,0,1,0,0.0,0,0,12,13,47,22,171,14,0,11,0,0,0,0,0,0,0,1,0,0,69
אופקים,31,230,493,269,10,259,1,3,2,0,0,0,0.0,0,0,43,20,66,5,76,14,1,3,0,0,0,0,0,0,0,0,0,1,24
אופקים,31,250,672,383,10,373,11,10,7,1,1,0,0.0,1,1,46,31,97,18,96,10,0,4,0,1,0,1,0,1,2,3,0,0,31
אופקים,31,260,399,213,5,208,11,10,5,0,0,0,0.0,3,0,4,13,33,14,72,6,0,3,0,1,0,0,0,0,0,0,0,2,31
עוצם,32,10,376,286,4,282,8,2,14,0,0,0,0.0,0,0,3,0,3,10,82,0,0,0,0,1,0,0,0,0,0,0,1,0,158
בת שלמה,33,10,246,173,1,172,41,7,0,0,0,0,0.0,0,0,33,1,11,4,48,15,0,1,0,0,0,0,0,0,1,5,0,0,5
גדות,35,10,347,219,4,215,110,0,0,0,0,0,0.0,1,0,27,2,0,0,6,60,1,0,0,0,0,0,0,0,0,7,0,1,0
שדה דוד,36,10,300,207,4,203,25,1,2,0,0,0,0.0,2,0,2,0,4,3,117,1,0,1,0,0,6,0,0,0,0,0,0,2,37
איתן,37,10,270,218,4,214,0,28,3,0,0,0,0.0,1,0,3,0,3,12,37,0,0,5,0,0,0,1,0,0,0,1,0,1,119
גפן,39,10,219,178,6,172,0,12,9,1,0,0,0.0,1,1,0,0,2,1,93,1,0,6,0,0,0,0,0,0,1,0,0,0,44
אליכין,41,10,534,407,8,399,32,58,4,0,0,0,0.0,0,0,9,1,14,26,155,3,0,0,0,0,0,2,0,0,1,5,1,0,88
אליכין,41,20,620,484,9,475,29,89,11,0,0,0,0.0,0,0,20,0,14,25,186,2,4,5,1,0,0,1,0,0,0,9,0,0,79
אליכין,41,30,590,450,9,441,40,64,5,0,1,0,0.0,0,0,5,0,17,24,173,7,1,3,1,0,1,0,0,0,0,5,0,0,94
מטולה,43,10,529,342,3,339,83,10,6,2,0,0,0.0,0,0,62,2,2,3,109,35,3,3,0,0,0,0,0,0,0,11,0,6,2
מטולה,43,20,575,381,6,375,110,4,2,0,0,0,0.0,1,0,59,2,5,3,122,50,0,1,0,0,0,0,0,0,1,7,0,6,2
זוהר,44,10,260,177,1,176,36,3,2,0,0,0,0.0,1,0,1,0,6,5,74,2,0,0,0,0,3,0,0,0,0,1,0,0,42
יבנאל,46,10,548,406,7,399,37,27,9,0,1,0,0.0,4,0,57,0,5,3,133,8,1,8,1,0,0,0,0,1,0,8,0,0,96
יבנאל,46,20,563,406,5,401,30,26,5,0,0,0,0.0,2,1,65,0,12,3,138,5,1,12,0,0,0,0,0,0,0,5,1,1,94
יבנאל,46,30,566,422,3,419,34,28,3,0,0,0,0.0,3,0,54,1,9,1,124,9,0,6,0,0,0,0,0,0,0,9,0,2,136
כפר תבור,47,10,602,411,7,404,131,28,0,0,0,0,0.0,0,0,85,3,6,2,98,35,3,3,0,0,0,0,0,0,0,5,0,4,1
כפר תבור,47,20,563,400,2,398,125,28,0,0,1,0,0.0,0,0,70,2,8,3,106,32,0,5,0,0,1,0,0,0,0,9,0,5,3
כפר תבור,47,30,532,370,1,369,105,14,1,0,1,0,0.0,1,0,80,0,16,3,102,29,6,0,0,0,0,0,0,0,0,10,0,0,1
מנחמיה,48,10,465,309,3,306,22,6,1,0,0,0,0.0,0,25,0,0,20,1,143,13,1,8,0,0,0,0,0,0,0,3,0,2,61
מנחמיה,48,20,470,316,5,311,37,8,3,0,0,0,0.0,0,0,32,3,15,9,134,6,0,6,0,0,0,0,0,0,0,8,0,1,49
אילניה,49,10,359,238,1,237,41,2,0,1,0,0,0.0,1,0,46,2,18,1,88,13,2,2,0,0,0,1,0,0,0,8,0,3,8
גבעת עדה,50,10,589,420,2,418,117,12,1,0,1,0,0.0,0,0,65,1,5,6,134,40,7,0,0,0,0,0,0,0,0,6,0,5,18
גבעת עדה,50,20,563,466,4,462,102,31,3,0,0,0,0.0,1,0,92,6,3,9,96,58,4,4,1,0,0,0,1,0,0,5,0,7,39
גבעת עדה,50,30,509,393,9,384,56,43,1,0,0,0,0.0,0,0,28,4,4,11,103,17,4,3,1,0,0,0,0,0,1,6,0,0,102
לוזית,52,10,224,157,2,155,25,1,24,0,0,0,0.0,1,0,1,0,2,3,30,1,0,1,1,0,0,0,0,0,0,0,0,0,65
עתלית,53,10,589,370,11,359,74,30,0,1,1,0,0.0,1,0,52,16,10,6,107,16,6,0,0,0,1,1,0,0,1,2,0,2,32
עתלית,53,20,495,323,16,307,6,25,1,1,0,0,0.0,1,0,26,40,33,0,98,5,1,0,1,0,0,1,0,0,0,3,2,0,63
עתלית,53,30,737,497,2,495,58,57,4,0,0,0,0.0,0,0,46,4,18,10,209,5,0,4,0,0,0,0,0,0,1,4,0,1,74
עתלית,53,40,806,559,0,559,97,36,2,0,2,0,0.0,0,0,96,0,11,11,207,24,1,6,0,0,2,0,0,0,0,15,0,3,46
עתלית,53,50,684,430,4,426,93,29,2,0,0,0,0.0,1,0,58,8,10,8,153,14,1,4,0,0,0,0,0,0,0,8,0,0,37
נוגה,55,10,310,194,1,193,17,6,5,0,0,0,0.0,0,0,10,0,7,15,115,2,0,1,0,0,0,0,0,0,0,0,0,1,14
כנרת )קבוצה(,57,10,581,411,11,400,232,4,0,0,1,0,0.0,0,0,65,0,1,2,39,35,4,1,0,0,1,1,0,0,0,7,0,2,5
מצפה,58,10,112,87,1,86,27,1,0,0,0,0,0.0,0,0,15,0,0,2,35,2,0,0,0,0,0,0,0,0,0,1,0,1,2
נחושה,59,10,118,103,0,103,0,26,5,0,0,0,0.0,0,0,0,1,13,0,16,0,0,6,0,0,0,0,0,0,0,1,0,0,35
דגניה א',62,10,462,320,3,317,202,1,0,0,1,0,0.0,0,0,35,2,0,1,17,41,0,0,0,0,0,0,0,0,0,14,0,2,1
כנרת )מושבה(,63,10,356,269,0,269,75,7,1,0,0,0,0.0,0,0,39,0,15,5,78,30,1,4,1,0,0,3,0,0,0,6,0,2,2
"יד רמב""ם",64,10,554,408,4,404,17,38,1,1,0,0,0.0,3,0,16,0,3,6,237,6,0,8,0,0,1,0,0,0,0,2,0,3,62
מגדל,65,10,446,289,5,284,23,12,38,0,0,0,0.0,2,0,15,1,24,2,108,4,0,12,2,0,0,0,0,0,1,1,1,1,37
מגדל,65,20,457,314,5,309,23,16,22,1,0,0,0.0,1,0,7,0,35,0,148,5,0,5,1,0,0,1,0,0,0,1,0,1,42
מרחביה )קיבוץ(,66,10,521,374,10,364,101,2,0,0,0,0,0.0,0,0,23,1,4,25,10,175,3,0,0,0,0,0,1,0,1,12,0,1,5
אור הנר,67,10,290,216,0,216,131,0,0,0,0,0,0.0,0,0,11,0,0,3,5,32,24,0,0,0,0,0,0,0,0,8,0,2,0
ניר עוז,69,10,337,251,2,249,53,0,0,0,2,0,0.0,0,0,8,0,0,1,8,162,0,0,0,0,0,0,0,0,0,12,0,2,1
אשדוד,70,10,553,321,14,307,8,4,5,2,1,0,0.0,1,0,53,49,46,12,77,6,2,4,0,1,2,0,2,0,0,4,0,0,28
אשדוד,70,20,643,355,2,353,67,8,2,1,0,0,0.0,0,0,35,8,24,13,145,15,1,1,0,0,0,0,0,0,1,6,0,2,24
אשדוד,70,30,674,378,13,365,30,7,4,0,0,0,0.0,0,0,46,8,39,16,122,21,1,5,0,0,0,0,0,1,0,6,0,1,58
אשדוד,70,40,627,361,10,351,15,7,3,1,0,2,0.0,0,0,45,32,31,30,100,12,2,2,2,0,1,0,0,0,0,1,0,3,62
אשדוד,70,50,697,393,9,384,20,4,5,0,0,0,0.0,0,0,47,12,65,32,119,3,0,1,0,0,0,0,0,0,3,0,0,0,73
אשדוד,70,60,715,435,9,426,14,6,11,0,0,0,0.0,1,1,54,47,59,16,140,3,0,2,3,0,0,0,0,1,0,2,1,1,64
אשדוד,70,70,705,402,8,394,28,5,6,0,1,0,0.0,0,0,48,18,48,13,156,7,0,2,1,0,0,0,0,3,0,3,0,0,55
אשדוד,70,80,435,205,5,200,9,6,2,0,0,0,0.0,0,0,25,12,15,7,78,4,1,3,1,0,0,1,0,0,0,0,0,0,36
אשדוד,70,90,779,422,12,410,21,4,8,0,0,0,0.0,2,0,61,17,71,21,123,3,0,3,0,0,0,0,1,1,0,0,0,0,74
אשדוד,70,100,574,323,12,311,16,6,8,0,1,1,0.0,0,1,32,24,78,7,80,4,0,1,0,0,0,0,0,1,0,0,0,0,51
אשדוד,70,110,678,420,14,406,20,5,7,0,1,1,0.0,1,1,62,19,57,23,137,5,1,1,1,0,0,0,0,1,1,1,0,1,60
אשדוד,70,120,718,336,16,320,19,6,5,0,1,0,0.0,1,0,39,15,60,5,111,2,0,2,0,0,0,0,0,0,0,1,1,0,52
אשדוד,70,130,698,365,6,359,17,3,7,0,0,0,0.0,0,1,35,16,68,13,123,2,0,1,1,0,0,0,0,0,0,1,0,1,70
אשדוד,70,140,745,377,7,370,14,8,6,0,0,0,0.0,0,1,48,22,62,9,127,6,0,0,0,0,0,3,0,0,0,1,0,0,63
אשדוד,70,150,762,437,12,425,30,14,5,0,0,0,0.0,1,0,57,11,48,12,167,6,2,4,2,0,1,1,0,1,2,3,0,2,56
אשדוד,70,160,565,320,9,311,10,10,9,0,0,1,0.0,0,0,25,1,24,18,122,3,1,2,3,0,0,0,0,0,0,1,0,0,81
אשדוד,70,170,629,356,17,339,17,4,5,2,0,0,0.0,1,0,44,40,51,5,87,3,0,0,0,1,0,0,0,0,0,0,0,0,79
אשדוד,70,180,624,408,16,392,15,1,36,0,0,0,0.0,0,0,24,12,25,35,93,2,0,4,2,1,2,0,2,0,0,3,0,0,135
אשדוד,70,190,812,439,22,417,18,2,9,0,0,0,0.0,1,0,38,46,80,15,110,8,1,1,3,2,0,0,0,0,1,0,0,1,81
אשדוד,70,200,643,374,11,363,32,5,8,0,0,0,0.0,2,0,52,27,48,12,113,5,1,0,0,0,0,0,0,0,1,1,0,1,55
אשדוד,70,210,696,501,25,476,25,11,9,1,0,0,0.0,0,0,57,71,60,7,177,3,0,2,0,2,0,0,1,0,3,3,0,2,42
אשדוד,70,220,802,368,14,354,17,4,6,0,0,0,0.0,1,0,38,28,28,14,121,4,0,5,1,0,0,0,1,0,3,1,0,0,82
אשדוד,70,230,627,317,15,302,45,8,2,0,0,0,0.0,3,0,53,14,43,10,83,14,2,1,0,0,2,0,0,1,0,2,0,2,17
אשדוד,70,240,623,374,12,362,29,6,12,0,0,0,0.0,0,0,36,17,42,22,113,6,2,0,1,1,2,0,0,0,0,1,0,0,72
אשדוד,70,250,660,345,7,338,14,7,8,2,0,0,0.0,1,0,49,19,48,11,102,13,0,2,1,0,2,0,0,0,0,2,1,0,56
אשדוד,70,260,771,443,16,427,13,10,9,0,2,0,0.0,0,0,52,16,95,54,112,9,2,0,1,1,0,0,0,0,1,1,0,0,49
אשדוד,70,270,725,444,7,437,25,8,5,0,0,0,0.0,3,0,45,25,45,8,159,14,0,3,0,0,1,0,0,1,0,2,0,1,92
אשדוד,70,280,523,278,7,271,7,12,4,0,1,0,0.0,0,0,36,8,74,9,81,4,0,2,0,0,0,0,0,0,0,2,0,1,30
אשדוד,70,290,766,392,11,381,27,6,12,0,0,0,0.0,4,0,46,11,53,10,132,8,0,1,0,0,3,0,0,0,0,1,0,0,67
אשדוד,70,300,623,554,4,550,2,1,132,0,0,0,0.0,0,0,0,0,5,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,394
אשדוד,70,310,538,325,6,319,21,7,7,0,0,0,0.0,0,0,27,8,24,31,112,2,0,0,0,0,0,0,0,0,0,2,0,0,78
אשדוד,70,320,452,424,4,420,0,3,87,0,0,0,0.0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,324
אשדוד,70,330,738,382,9,373,12,2,12,0,0,0,0.0,1,0,39,3,37,18,128,3,0,0,0,0,1,0,0,0,0,0,0,0,117
אשדוד,70,340,671,362,6,356,16,3,10,0,0,0,0.0,1,1,35,14,43,16,100,3,0,3,1,0,1,0,0,0,0,2,0,2,105
אשדוד,70,350,514,286,20,266,10,9,13,0,0,0,0.0,0,0,24,12,38,12,80,3,0,4,0,0,0,0,0,1,0,0,0,0,60
אשדוד,70,360,624,337,10,327,39,20,9,0,0,0,0.0,0,0,40,8,31,12,105,9,0,2,0,0,0,0,0,0,0,5,0,2,45
אשדוד,70,370,479,255,5,250,8,0,7,0,0,0,0.0,0,0,26,11,35,24,63,7,1,1,1,0,1,0,0,0,0,3,0,0,62
אשדוד,70,380,659,305,3,302,29,12,5,0,0,0,0.0,1,0,21,2,32,9,111,3,0,1,2,0,0,0,0,0,0,3,0,4,67
אשדוד,70,390,512,316,10,306,9,6,2,0,0,0,0.0,0,0,39,11,55,21,103,5,1,2,0,2,0,0,0,0,0,2,0,0,48
אשדוד,70,400,812,418,17,401,36,1,4,1,1,0,0.0,0,1,55,31,33,14,141,5,1,3,1,1,1,0,0,1,1,0,0,1,68
אשדוד,70,410,595,365,3,362,6,5,6,0,2,0,0.0,4,0,31,30,64,10,91,3,3,0,1,3,0,1,0,1,0,2,0,0,99
אשדוד,70,420,763,384,8,376,16,9,8,0,0,0,0.0,0,1,34,15,54,15,110,7,0,0,0,0,2,0,0,0,0,1,0,1,103
אשדוד,70,430,567,341,14,327,11,1,4,1,0,0,0.0,0,1,65,20,67,9,107,4,0,0,0,0,0,1,0,1,0,2,0,1,32
אשדוד,70,440,539,474,3,471,0,2,358,0,0,0,0.0,0,0,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,103
אשדוד,70,450,629,354,6,348,64,27,4,0,0,0,0.0,1,0,47,4,16,4,141,13,0,1,0,0,0,0,0,3,0,0,0,2,21
אשדוד,70,460,722,395,11,384,11,3,2,0,0,1,0.0,2,0,37,11,28,39,146,12,3,2,1,1,0,0,0,0,1,0,0,2,82
אשדוד,70,470,698,391,13,378,25,7,6,0,0,0,0.0,1,0,36,18,52,25,139,8,0,0,1,0,0,0,0,0,0,1,0,0,59
אשדוד,70,480,663,335,10,325,11,2,9,0,0,0,0.0,2,0,35,8,33,31,123,4,0,2,0,2,0,0,0,0,1,3,0,1,58
אשדוד,70,490,755,424,19,405,13,4,4,0,1,0,0.0,0,0,82,10,68,29,125,3,2,1,0,0,0,0,0,0,1,5,1,0,56
אשדוד,70,500,578,335,7,328,13,7,9,1,0,0,0.0,1,0,28,8,26,22,137,7,0,0,1,0,2,0,0,0,0,1,0,1,64
אשדוד,70,510,825,470,17,453,21,10,8,0,1,0,0.0,2,0,45,27,74,18,172,2,0,0,2,0,0,0,0,1,0,1,0,0,69
אשדוד,70,520,610,324,13,311,13,1,5,0,2,0,0.0,2,0,26,12,29,38,116,3,2,1,0,0,0,0,0,0,0,1,0,0,60
אשדוד,70,530,798,558,11,547,36,68,13,0,0,0,0.0,1,0,50,18,29,14,174,8,4,7,0,0,0,0,0,1,0,3,0,2,119
אשדוד,70,540,521,284,8,276,21,0,3,0,0,0,0.0,1,2,42,15,36,22,83,3,0,4,0,0,0,2,1,1,1,0,0,0,39
אשדוד,70,550,632,436,9,427,13,18,15,1,0,0,0.0,0,0,56,17,56,13,131,4,0,3,1,2,2,0,0,0,0,0,0,1,94
אשדוד,70,560,769,512,12,500,32,19,11,0,0,0,0.0,0,0,72,19,39,12,209,17,5,3,0,0,0,0,0,0,0,2,0,2,58
אשדוד,70,570,664,409,6,403,15,19,14,0,0,0,0.0,0,0,36,4,40,5,171,2,1,4,0,0,0,0,0,0,0,5,0,1,86
אשדוד,70,580,743,508,13,495,7,4,4,0,0,0,0.0,2,1,125,38,163,10,96,2,0,2,0,1,4,0,0,0,0,0,0,0,36
אשדוד,70,590,751,453,5,448,5,7,49,0,0,0,0.0,2,0,39,2,30,30,130,3,1,3,1,0,0,0,0,0,1,1,0,0,144
אשדוד,70,600,675,491,10,481,6,4,196,0,0,2,0.0,0,0,26,10,45,21,57,4,0,3,1,0,2,0,1,0,0,0,0,0,103
אשדוד,70,610,704,360,5,355,24,14,10,0,0,0,0.0,3,0,29,15,57,5,129,5,0,1,0,0,1,0,0,1,0,2,0,1,58
אשדוד,70,620,701,544,5,539,2,5,192,0,0,0,0.0,1,0,11,5,15,5,35,1,0,4,0,0,0,0,0,0,0,0,0,0,263
אשדוד,70,630,571,354,8,346,11,6,18,0,1,0,0.0,0,0,34,16,33,22,99,1,0,4,0,0,2,0,0,0,0,0,0,1,98
אשדוד,70,640,714,484,6,478,21,18,13,0,0,0,0.0,0,0,64,19,63,9,188,5,2,5,0,0,0,0,0,1,0,0,0,0,70
אשדוד,70,650,789,505,9,496,13,16,15,0,0,0,0.0,2,0,66,17,65,10,182,3,0,2,1,0,1,0,1,1,1,4,0,0,96
אשדוד,70,660,724,489,11,478,23,14,5,0,0,0,0.0,1,0,71,12,40,11,204,7,0,1,1,4,0,0,0,0,0,3,0,1,80
אשדוד,70,670,683,423,6,417,18,7,7,0,0,0,0.0,1,0,46,7,36,18,144,10,0,2,1,0,0,0,0,0,0,4,1,0,115
אשדוד,70,680,644,401,4,397,52,21,3,0,0,0,0.0,1,0,68,3,31,10,152,10,0,0,0,0,0,0,1,0,0,3,0,2,40
אשדוד,70,690,823,501,22,479,22,9,52,0,0,0,0.0,1,1,60,38,47,20,105,5,0,5,0,0,0,0,3,1,1,3,0,1,105
אשדוד,70,700,450,229,6,223,23,5,2,0,0,0,0.0,1,0,24,9,18,5,83,1,0,3,0,0,0,0,0,0,0,2,0,0,47
אשדוד,70,710,476,277,10,267,6,4,3,0,0,0,0.0,0,1,27,6,32,29,100,4,0,0,0,0,3,0,0,0,1,2,0,2,47
אשדוד,70,720,548,300,5,295,20,0,1,0,0,0,0.0,1,0,28,13,17,44,93,4,2,3,1,0,0,0,0,0,1,1,0,0,66
אשדוד,70,730,423,181,5,176,8,2,3,0,0,0,0.0,0,0,22,0,18,13,74,2,3,1,0,0,0,0,0,0,0,1,0,0,29
אשדוד,70,740,612,339,16,323,8,8,10,0,0,0,0.0,0,0,15,0,13,29,165,1,0,2,2,0,0,0,0,0,0,2,0,0,68
אשדוד,70,750,670,343,7,336,13,12,6,0,1,0,0.0,0,1,41,9,48,25,119,4,1,2,0,0,0,0,0,0,0,0,0,0,54
אשדוד,70,760,720,433,17,416,32,23,12,0,1,0,0.0,1,0,35,11,50,19,156,6,0,3,2,1,1,0,0,2,0,0,1,1,59
אשדוד,70,770,624,379,10,369,41,9,3,1,0,1,0.0,1,0,56,15,36,8,137,6,0,2,0,1,0,1,1,0,0,5,0,0,45
אשדוד,70,790,530,345,3,342,28,14,6,0,0,0,0.0,0,0,43,5,16,8,144,8,1,8,0,0,0,0,0,0,0,4,0,0,57
אשדוד,70,800,761,455,14,441,34,5,7,0,0,0,0.0,0,0,56,16,39,16,190,5,2,8,0,0,2,1,0,0,0,1,0,0,59
אשדוד,70,810,684,476,11,465,21,11,3,0,0,0,0.0,0,0,77,6,55,22,192,7,1,0,1,0,0,1,0,0,0,6,1,1,60
